#{"t_start": 1779336027.0662909, "env_id": "None"}
r,l,t
522.719747,44,481.855803
813.826647,34,482.661608
818.147054,37,483.498889
490.698242,37,484.34195
539.229867,37,485.134807
496.694016,32,485.904562
504.362743,36,486.730869
343.185942,56,487.81063
793.989643,45,490.879191
512.853252,34,491.629219
820.473073,33,492.400168
823.098483,31,493.139858
509.202833,33,493.874892
485.794838,33,494.673137
524.989624,39,495.50292
530.108328,35,496.30534
523.31606,38,497.153175
801.207521,33,497.973334
530.943572,32,498.373424
573.991374,34,499.211421
442.555395,36,500.071292
818.005682,35,500.871389
824.964353,41,501.767344
530.333031,35,502.622811
542.264921,39,503.54688
825.751467,30,504.34712
541.168347,32,505.160191
820.720024815.324942,34,50503.465625497.331969,39,50827.885259459.341431,42,50524.717773477.922614,44,50827.037373484.819742,40,50517.57268458.245453,38,510526.2658805.479115,33,511500.66764808.621959,33,511518.53532782.232856,38,512428.37798257.288979,47,51529.727017,45,514.53564
561.961674507.589097,46,337.269484,52,516.318554
528.379454,41,517.181475
459.492219,48,518.552068
458.488362,39,519.001456
534.557857,43,520.309707
824.543595,47,521.280095
834.901769,36,522.090697
498.383748,38,522.92136
504.969684,41,523.759245
461.263446,31,524.542057
549.806763,3518.054054,43,544.425128,3494.075919,41,838.726832,3816.072626,29,441.216846,41,527.894396
821.771294,34,528.311724
496.420957,40,529.202942
514.448719,45,530.512386
498.482768,40,531.410547
792.108652,35,532.219199
451.69468,45,533.141398
825.743708,33,533.920146
489.743106,44,534.80127
824.512946,30,535.559001
495.734725,36,538.522019
516.57918,53,539.537959
514.477241,39,540.383033
478.706644,30,541.089133
826.035996,36,541.90913
500.989897,36,542.702603
447.772226,45,543.658945
819.444694,33,544.445468
821.935127,34,545.268853
514.781246,34,546.083422
526.370759,46,547.029414
524.658973,46,547.943819
445.186297,46,549.345827
532.913482,30,549.69942
506.998086,35,550.491088
495.929509,42,551.770069
833.621766,32,552.53102
548.404486,37,552.97237
832.158888,34,553.771026
811.511552,37,554.627724
474.31056,39,555.468908
498.722023,33,556.249926
526.250554,42,557.147078
506.964979,38,557.990726
525.223267,31,558.758481
479.919519,38,559.611182
535.508358,47,560.543613
823.478214,30,561.298981
497.169498,32,56838.85002483.325797,43,562.569623
504.543143,55,564.009432
443.605754,50,564.951088
522.14094,46,565.899282
812.661808,34,566.700744
825.951268,35,567.50054
542.756562,40,568.380642
814.202288,34,569.199116
445.37479,36,570.009305
557.884615,42,570.893487
421.646655,41,571.759636
517.782923,41,572.648913
510.743475,40,573.509716
726.999121,43,574.432989
491.102877,40,575.332031
504.515281,38,576.159148
837.460854,33,576.948952
511.562228,36,577.78371
497.038227,42,578.658684
457.946464,39,579.516632
479.590001,35,580.343911
519.100751,38,581.20263
470.110164,44,582.1092
510.688148,29,582.846496
487.344761,44,586.002268
513.562805,42,586.882914
816.91303,37,587.69693
816.659232,33,588.493258
529.800657,31,588.862605
806.571602,37,589.689704
498.157756,51,591.079832
805.751685,33,591.448407
547.862,37,592.2385
539.634672,37,593.089221
796.08618,37,593.944604
835.225325,27,595.427229
835.225325,27,596.088073
811.863448,31,596.830716
520.929768,40,597.77
527.086412,35,599.006752
533.788174,36,599.408266
545.08749,37,600.633108
465.318088,37,601.489665
485.397645,40,602.339199
406.021619,51,603.343862
526.727759,36,604.167327
465.622767,34,604.949605
808.145286,31,605.709009
835.83879,37,606.551555
846.678969,38,607.377473
818.770075,36,608.187123
803.063187,35,608.587775
523.125422,45,609.49852
487.401728,42,610.772026
745.387036,39,611.644193
490.886233,37,612.057157
528.077156,34,612.847633
474.3193,42,613.742027
479.140061,56,615.19791
526.0564,36,616.048853
533.46585,38,616.903563
515.237137,43,617.778589
548.930426,43,618.268377
511.726137,29,618.999133
523.300917,36,619.884665
516.621786,41,621.163417
834.139517,33,621.938004
814.704916,34,622.342296
461.346181,44,623.679397
828.910594,33,624.468023
827.908804,35,624.857777
822.29917,44,626.162086
810.70512,48,627.117876
535.332814,34,627.909786
459.530118,43,628.790433
818.426456,31,629.137263
537.359293,33,629.930758
528.802263,39,631.223519
765.244411,45,632.128347
529.722801,38,635.169218
835.187274,35,635.948585
820.323247,32,636.715249
802.527089,38,637.548576
466.605446,42,638.47802
819.496176,37,639.318876
817.587387,40,640.191925
526.138114,423.404562,60,6483.883958,776.675049,49,467.777219,4834.465208,37,774.208706,4508.592182,42,516.582649,3673.130082,61,644.933524
482.665353,37,645.752264
824.647448,38,647.03177
478.963086,40,6483.823259,489.136559,35,6489.420994,511.449639,37,6787.461824,455.361579,54,6510.717122,822.486353,38,651.404663
822.158769,32,725.985873,5418.296874,57,531.34103,41423.743319,51,654.631086
447.10947,42,655.543819
804.784787,32,518.35255,41435.615394,48,657.314521
516.504565,37,658.132278
825.454855,36480.282199,50821.649631,31511.833796,44523.661515,42488.764411,38819.092378,36516.015129,31521.727565,40833.058602,35494.026294,45,663.220849
828.937064,33472.98082,44,525.642477,4789.048608,32,792.392922,38,665.301167
808.010535,47,666.620717
443.398712,49,667.56051
521.835043,38,668.404822
807.742344,40,669.310622
547.211939,40,670.180187
430.498749,51,671.191541
505.066967,47,672.141923
826.971802,33,672.940701
811.157905,38,673.779918
811.741305,34,674.602544
443.591434,45,675.520681
769.183986,41,676.390012
799.168106,36,677.210771
821.985003,29,677.960308
811.404768,40,678.809734
807.728845,44,681.8101
832.130303,39,682.647248
832.860241,33,683.419909
825.566358,37,684.259804
787.241623,53,685.291558
512.398,41,686.153983
779.556269,34,686.949496
533.075975,39,687.790443
827.967817,32,688.574143
806.547371,32,688.961082
510.296999,41,689.831772
492.012188,39,690.758692
802.560923,33,691.561093
816.869173,37,692.378263
510.107998,36,693.225014
797.981484,38,694.093837
458.219031,41,694.95339
824.914757,37,695.770357
491.423644,39,696.627356
819.207941,33,697.403491
478.208182,46,698.343624
827.565765,33,699.170558
808.342338,39,700.031934
520.937787,43,700.949479
723.723556,41,701.798474
485.231572,35,702.612649
532.363124,47,703.542225
469.40594,45,704.461807
472.676072,47,705.389249
817.428432,39,706.231204
806.809361,34,707.040905
820.740986,31,707.819399
818.862534,44,708.754094
824.06057,33,709.557947
541.201041,32,710.341343
834.734052,27,711.184139
834.734052,27,711.828353
740.171832,36,712.622684
837.254505,38,713.479059
537.215675,40,714.360805
490.963651,45,715.2599
513.873923,35,716.04013
488.917977,40,716.900054
525.70103,37,717.737482
812.606479,40,718.574172
533.915952,42,719.439141
383.062194,63,720.941928
820.696404,32,721.730916
461.209391,48,722.710993
522.965299,34,723.480253
480.859015,34,723.850624
816.095594,38,725.07228
831.186907,32,725.80804
536.931476,38,726.26312
825.34382,41,727.15245
791.408988,39,729.801569
824.261926,30,730.528006
822.979921,41,731.369205
530.372457,35,732.160851
820.469884,32,732.918655
822.876773,32,733.670634
820.352371,34,734.449648
823.230196,32,734.798558
825.729653,29,735.541082
550.230454,40,736.412241
501.945574,35,737.210196
829.303941,34,738.011202
844.069802,33,738.808696
818.460707,43,739.719563
813.25464,38,740.548814
806.531032,34,741.321624
813.381738,44,742.230432
830.05561,36,743.021522
460.097276,60,744.510361
816.26158,34,745.290143
837.252378,32,746.059754
810.443469,44,746.564292
549.992488,39,747.809126
797.776828,33,748.569008
819.421096,33,748.929291
818.397513,30,749.680325
473.349049,41,750.539839
492.818137,35,751.348394
827.902674,36,752.13774
495.476185,38,752.959305
552.68959,32,753.760988
473.67319,44,754.647815
475.31253,43,755.520766
797.936421,35,756.306576
822.894024,32,757.067019
809.804774,42,757.930515
824.863165,35,758.708788
816.41705,33,759.528083
491.497115,46,760.449492
553.153506,42,761.338561
470.410996,46,762.218138
438.335181,58,763.681161
751.135345,47,764.597711
811.520314,30,765.3376
827.479114,44,765.848766
800.022735,37,766.669718
759.514433,39,767.487142
472.583221,39,768.350944
826.404145,33,769.117098
524.21578,41,769.978385
788.989594,34,770.769094
814.49739,37,771.185598
496.254854,52,772.559076
772.650313,37,773.39777
562.993703,36,775.618115
814.752763,29,776.340671
468.519883,49,777.298654
796.054751,44,778.1796
831.840473,36,778.986142
480.331596,50,780.339554
769.972402,53,781.318076
450.381804,41,782.184561
806.020877,38,783.018015
793.636702,38,783.438768
818.329989,37,784.261084
817.437715,34,785.037876
485.773169,42,785.888075
813.793255,29,786.618763
815.744174,41,787.477552
809.951669,36,788.318941
499.927482,32,789.089326
834.8476,40,789.94684
811.902103,40,790.787282
812.882972,49,791.728034
802.923505,57,793.188854
829.176166,30,793.51958
823.328242,39,794.356661
520.817613,36,795.178124
481.552715,50,796.14932
693.745746,76,797.791975
832.095821,32,798.562467
831.534299,30,799.282163
759.320183,51,800.227582
451.701493,64,801.357321
806.452685,48,802.717884
545.101562,47,803.620034
707.133811,65,805.170779
821.443919,33,805.972488
817.908938,50,806.928242
825.548334,34,807.696642
411.119935,44,808.617455
835.173741,36,809.007693
744.91278,47,810.317388
653.222158,77,811.978264
827.127387,35,812.77791
490.319104,40,813.63747
504.941762,41,814.497867
825.908995,38,814.937462
823.753403,41,815.786399
537.459122,36,816.586931
772.181668,41,817.446208
830.043991,37,818.257355
821.78953,36,820.505755
441.549242,40,821.727134
730.477429,57,822.768767
824.877388,32,823.522314
837.84168,27,824.365803
837.84168,27,825.03518
801.156917,37,826.246086
786.890308,38,827.051908
550.365279,34,827.442075
827.426543,30,828.18834
815.276994,33,828.966812
839.27307,33,829.72598
546.964024,48,830.668853
805.616081,34,831.026937
829.976576,39,831.856241
154.016062,70,833.407797
801.426635,35,834.218931
821.764842,34,835.407048
797.053376,35,835.786926
825.558256,31,836.547075
829.658034,31,837.316522
823.012923,50,838.316329
837.258098,29,839.078379
821.729137,37,839.886662
818.392336,54,840.88601
442.237604,55,841.907856
827.546675,41,842.775776
823.003953,34,843.557989
513.829269,49,844.51835
792.557361,49,845.866801
779.398419,58,846.906085
790.665083,50,847.876599
494.655748,40,848.708616
843.199806,28,849.430733
763.534294,46,850.32729
797.510089,40,851.165046
812.438038,37,851.98499
821.186182,34,852.736123
824.923768,32,853.51897
833.323978,36,854.335931
817.97441,35,855.126644
799.173757,52,856.096934
837.770633,29,856.806885
434.100174,42,857.656899
826.217423,34,858.456639
785.80965,40,858.888061
401.317901,40,859.729673
829.822535,33,860.495711
814.532421,29,860.805288
818.92451,35,861.596724
505.908784,42,862.431463
509.531076,35,863.21803
521.550686,41,864.098448
832.555547,33,866.737821
699.985638,55,868.115433
817.394873,38,868.896037
778.755348,48,869.815438
785.687424,45,870.72556
822.774798,37,871.544776
774.392817,43,872.426299
832.700232,30,873.165966
821.070339,34,873.941506
823.921032,32,874.695345
544.314527,73,875.894732
830.403631,29,876.635826
811.67502,40,877.487174
819.663438,35,878.270475
834.076918,32,879.065442
818.070046,29,879.784426
837.84724,40,880.625181
793.500725,35,881.42603
825.176913,39,882.26791
